counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(50)	50	2500	.02000000000000000000	.02000000000000000000
2	(0)	(49)	49	2401	.02040816326530612244	.04040816326530612244
3	(0)	(49)	49	2401	.02040816326530612244	.06081632653061224488
4	(0)	(48)	48	2304	.02083333333333333333	.08164965986394557821
5	(0)	(52)	52	2704	.01923076923076923076	.10088042909471480897
6	(0)	(50)	50	2500	.02000000000000000000	.12088042909471480897
7	(0)	(53)	53	2809	.01886792452830188679	.13974835362301669576
8	(0)	(45)	45	2025	.02222222222222222222	.16197057584523891798
9	(0)	(38)	38	1444	.02631578947368421052	.18828636531892312850
10	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(41),(43),(51),(49),(49),(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82),(52),(54),(63),(63),(58),(54),(63),(58),(68),(71),(74),(66),(59),(47),(42),(45),(43),(57),(57),(54),(49),(48),(45),(47),(50),(49),(50),(53)	2664	148184	.01797764940884305997	.20626401472776618847
11	(40),(41),(41),(41),(40),(41),(41),(40)	(43),(51),(49),(49),(52),(50),(47),(50)	66	64142	.00102896697951420286	.20729298170728039133
12	(40),(41),(41),(41),(40),(41),(41),(40)	(51),(49),(49),(52),(50),(47),(50),(51)	74	65536	.00112915039062500000	.20842213209790539133
13	(40),(41),(41),(41),(40),(41),(41),(40)	(49),(49),(52),(50),(47),(50),(51),(52)	75	65729	.00114104885210485478	.20956318095001024611
14	(40),(41),(41),(41),(40),(41),(41),(40)	(49),(52),(50),(47),(50),(51),(52),(51)	77	66089	.00116509555296645432	.21072827650297670043
15	(40),(41),(41),(41),(40),(41),(41),(40)	(52),(50),(47),(50),(51),(52),(51),(55)	83	67189	.00123532125794400869	.21196359776092070912
16	(40),(41),(41),(41),(40),(41),(41),(40)	(50),(47),(50),(51),(52),(51),(55),(58)	89	68337	.00130236914116803488	.21326596690208874400
17	(40),(41),(41),(41),(40),(41),(41),(40)	(47),(50),(51),(52),(51),(55),(58),(58)	97	69865	.00138839189866170471	.21465435880075044871
18	(40),(41),(41),(41),(40),(41),(41),(40)	(50),(51),(52),(51),(55),(58),(58),(56)	106	71520	.00148210290827740492	.21613646170902785363
19	(40),(41),(41),(41),(40),(41),(41),(40)	(51),(52),(51),(55),(58),(58),(56),(54)	110	72260	.00152228065319678937	.21765874236222464300
20	(40),(51),(41),(51),(40),(51),(41),(50)	(52),(51),(55),(58),(58),(56),(54),(58)	77	81707	.00094239171674397542	.21860113407896861842
21	(40),(51),(41),(51),(40),(51),(41),(50)	(51),(55),(58),(58),(56),(54),(58),(56)	81	82477	.00098209197715726808	.21958322605612588650
22	(40),(51),(41),(51),(40),(51),(41),(50)	(55),(58),(58),(56),(54),(58),(56),(62)	92	84826	.00108457312616414778	.22066779918229003428
23	(40),(51),(41),(51),(40),(51),(41),(50)	(58),(58),(56),(54),(58),(56),(62),(82)	119	91005	.00130762046041426295	.22197541964270429723
